BCA,1,BCA101,Communicative English ,1,
BCA,1,BCA102,Basic Mathematics ,1,
BCA,1,BCA103,Introduction to Computers ,1,
BCA,1,BCA104,Procedure Oriented Programming ,1,
BCA,1,BCA105,Financial Accounting ,1,
BCA,1,BCA106,Lab C Programming ,1,
BCA,2,BCA201,Discrete Mathematics ,1,ra
BCA,2,BCA202,Database Management Systems ,1,ra
BCA,2,BCA203,Data Structures  ,1,ra
BCA,2,BCA204,Digital Electronics ,1,ra
BCA,2,BCA205,Operating System ,1,ra
BCA,2,BCA206,Lab Data Structures/DBMS ,1,ra
BCA,3,BCA301,Organizational Behaviour  ,1,ra
BCA,3,BCA302,Optimization Techniques ,1,ra
BCA,3,BCA303,Computer Graphics ,1,ra
BCA,3,BCA304,Computer System Architecture ,1,ra
BCA,3,BCA305,Object Oriented Programming with C++ ,1,ra
BCA,3,BCA306,Lab Computer Graphics in C++/ Optimization Techniques ,1,ra
BCA,4,BCA401,Digital Communication and Networks ,1,ra
BCA,4,BCA402,Numerical Analysis and Statistical Techniques ,1,ra
BCA,4,BCA403,Unix and Shell Programming ,1,ra
BCA,4,BCA404,Environmental  Science ,1,ra
BCA,4,BCA405,Java Programming ,1,ra
BCA,4,BCA406,Lab Java Programming/Unix Programming ,1,ra
BCA,5,BCA501,Software Engineering ,1,ra
BCA,5,BCA502,Artificial Intelligence ,1,ra
BCA,5,BCA503,(a)Python (b)C# with .NET Frame work ,1,ra
BCA,5,BCA504,Theory of Computation ,1,ra
BCA,5,BCA505,Web Technology ,1,ra
BCA,5,BCA506,Lab Python/ C#,1,ra
BCA,6,BCA601,Project Work ,1,ra
BBA  ,1,BBA 101 ,Business Organization & Management,1,ra
BBA  ,1,BBA 102 ,English Language & Communication English,1,ra
BBA  ,1,BBA 103 ,Micro Economics,1,ra
BBA  ,1,BBA 104 ,Statistics for Business Decisions,1,ra
BBA  ,1,BBA 105 ,Basic Accounting,1,ra
BBA  ,1,BBA 106 ,Computer Fundamental-Practical,1,ra
BBA  ,2,BBA 201 ,Organizational Behavior,1,ra
BBA  ,2,BBA 202 ,Business Communication,1,ra
BBA  ,2,BBA 203 ,Business Environment,1,ra
BBA  ,2,BBA 204 ,Macro Economics,1,ra
BBA  ,2,BBA 205 ,Financial Accounting,1,ra
BBA  ,2,BBA 206 ,Business Mathematics,1,ra
BBA  ,2,BBA 207 ,Comprehensive viva-voce,1,ra
BBA  ,3,BBA 301 ,Human Resource Management,1,ra
BBA  ,3,BBA 302 ,Business Laws,1,ra
BBA  ,3,BBA 303 ,Management Accounting,1,ra
BBA  ,3,BBA 304 ,Marketing Management,1,ra
BBA  ,3,BBA 305 ,International Business,1,ra
BBA  ,3,BBA 306 ,Financial Management,1,ra
BBA  ,4,BBA 401 ,Production Management,1,ra
BBA  ,4,BBA 402 ,Environmental Science,1,ra
BBA  ,4,BBA 403 ,Income Tax Law & Practice,1,ra
BBA  ,4,BBA 404 ,Research Methodology,1,ra
BBA  ,4,BBA 405 ,Indian Economics,1,ra
BBA  ,4,BBA 406 ,e-Commerce,1,ra
BBA  ,4,BBA 407 ,Comprehensive viva-voce,1,ra
BBA  ,5,BBA 501 ,Business Policy & Strategic Management,1,ra
BBA  ,5,BBA 502,International Marketing,1,ra
BBA  ,5,BBA 503 ,Industrial Relations & Labour Laws,1,ra
BBA  ,5,BBA 504 ,Financial Markets & Institutions,1,ra
BBA  ,5,BBA 505 ,Advertising & Sales Management,1,ra
BBA  ,5,BBA 506 ,Consumer Behavior,1,ra
BBA  ,5,BBA 507 ,Summer Training Project Report,1,ra
BBA  ,6,BBA 601,Management Information System,1,ra
BBA  ,6,BBA 602 ,Entrepreneurship & Small Business Management,1,ra
BBA  ,6,BBA 603,Project Management,1,ra
BBA  ,6,BBA 604 ,Rural Marketing,1,ra
BBA  ,6,BBA 605,Marketing of Services,1,ra
BBA  ,6,BBA 606 ,Project Report,1,ra
BBA  ,6,BBA 607 ,Project Viva-Voce,1,ra
BCH ,1,BCH 101 ,English Language & BusinessCommunication,1,ra
BCH ,1,BCH 102 ,Business Organization & Management,1,ra
BCH ,1,BCH 103 ,Micro Economics,1,ra
BCH ,1,BCH 104 ,Financial Accounting,1,ra
BCH ,1,BCH 105 ,Comprehensive Viva- Voce,1,ra
BCH ,2,BCH 201 ,Business Environment,1,ra
BCH ,2,BCH 202 ,Business Regulatory Framework,1,ra
BCH ,2,BCH 203 ,Business Mathematics,1,ra
BCH ,2,BCH 204 ,Cost Accounting,1,ra
BCH ,2,BCH 205 ,Comprehensive Viva- Voce,1,ra
BCH ,3,BCH 301 ,Management Accounting,1,ra
BCH ,3,BCH 302 ,Corporate Legal Framework,1,ra
BCH ,3,BCH 303,Business Policy and Strategic Management,1,ra
BCH ,3,BCH 304 ,Business Research Methods,1,ra
BCH ,3,BCH 305 ,Comprehensive Viva- Voce,1,ra
BCH ,4,BCH 401 ,Production Management,1,ra
BCH ,4,BCH 402 ,Financial Management,1,ra
BCH ,4,BCH 403 ,Marketing Management,1,ra
BCH ,4,BCH 404 ,Computer Applications in Business,1,ra
BCH ,4,BCH 405 ,Comprehensive Viva- Voce,1,ra
BCH ,5,BCH 501 ,Income Tax Law & Accounts,1,ra
BCH ,5,BCH 502 ,International Business,1,ra
BCH ,5,BCH 503 ,Corporate Accounting,1,ra
BCH ,5,BCH 504 ,Auditing,1,ra
BCH ,5,BCH 505 ,Comprehensive Viva- Voce,1,ra
BCH ,6,BCH 601,Business Ethics & Social Responsibility,1,ra
BCH ,6,BCH 602 ,Entrepreneurship & Small Business Management,1,ra
BCH ,6,BCH 603,Project Report & Viva-Voce,1,ra
MBA,1,MBA 101,Management Concepts,1,ra
MBA,1,MBA 102,Business Environment,1,ra
MBA,1,MBA 103,Computer Applications in Management,1,ra
MBA,1,MBA 104,Accounting for Managers,1,ra
MBA,1,MBA 105,Business Communications,1,ra
MBA,2,MBA 201,Managerial Economics,1,ra
MBA,2,MBA 202,Business Statistics,1,ra
MBA,2,MBA 203,Indian Ethos and Management,1,ra
MBA,2,MBA 204,Business Laws,1,ra
MBA,2,MBA 205,Organization Behaviour,1,ra
MBA,3,MBA 301,Management Information Systems,1,ra
MBA,3,MBA 302,Financial Management,1,ra
MBA,3,MBA 303,Marketing Management,1,ra
MBA,3,MBA 304,Human Resource Management,1,ra
MBA,3,MBA 305,Production Management,1,ra
MBA,4,MBA 401,Operation Research,1,ra
MBA,4,MBA 402,Business Research Methodology,1,ra
MBA,4,MBA 403,Project Management,1,ra
MBA,4,MBA 404,Strategic Management,1,ra
MBA,4,MBA 405,Consumer Behaviour,1,ra
MBA,5,MBA 501,Summer Internship,1,ra
MBA,5,MBA 502,International Trade and Business,1,ra
MBA,5,MBA 503,Cross-cultural and Global Management,1,ra
MBA,5,MBA 504,Total Quality Management,1,ra
MBA,5,MBA 505,Project and Project based viva-voce,1,ra
MBA,6,MBA 601,Entrepreneurship,1,ra
MBA,6,MBA 602,Training and Development,1,ra
MBA,6,MBA 603,Management of Financial Services,1,ra
MBA,6,MBA 604,Planning and Managing Retail Business,1,ra
MBA,6,MBA 605,Comprehensive Viva-voce,1,ra
B.Tech,1,SP105,ICT Tools and Cyber Security,1,ra
B.Tech,1,CY102,Chemistry,1,ra
B.Tech,1,CL103,Environmental Studies,1,ra
B.Tech,1,ME103,Engineering Graphics,1,ra
B.Tech,1,CE104,Computer Programming,1,ra
B.Tech,1,HS101B,English Communication,1,ra
B.Tech,1,MA102,Calculus and Differential Equations,1,ra
B.Tech,1,SP104,Law and Engineering,1,ra
B.Tech,2,SP103,Design Thinking,1,ra
B.Tech,2,ME104,Mechanical Workshop,1,ra
B.Tech,2,EE103,Elements of Electrical and Electronics Engineering.,1,ra
B.Tech,2,EE104,Electrical Workshop,1,ra
B.Tech,2,CE105,Introduction to Computer Science and Engineering,1,ra
B.Tech,2,MA202,Linear Algebra,1,ra
B.Tech,2,PY103,Physics,1,ra
B.Tech,3,EC321,Basic Electronics,1,ra
B.Tech,3,CE301,Digital Systems,1,ra
B.Tech,3,CE302,Object Oriented Programming,1,ra
B.Tech,3,CE303,Mathematical foundation of Computer Science,1,ra
B.Tech,3,SS342,ICT Tools and Security,1,ra
B.Tech,3,SP344,Community Services,1,ra
B.Tech,3,SP343,Entrepreneurship,1,ra
B.Tech,3,MA306,Applied Mathematics.,1,ra
B.Tech,4,SP341,Ethics & Values,1,ra
B.Tech,4,CE401,Data Communication,1,ra
B.Tech,4,CE402,Computer Organization,1,ra
B.Tech,4,CE404,Seminar,1,ra
B.Tech,4,CE403,Data Structures,1,ra
B.Tech,4,CE405,Mini Project - I,1,ra
B.Tech,4,CE406,Computer Peripherals Workshop,1,ra
B.Tech,4,MA403,Probability Statistics and Numerical Analysis,1,ra
B.Tech,4,SS341,Economics For Engineers,1,ra
B.Tech,5,CE501,Theory of Computation,1,ra
B.Tech,5,CE502,Database Management Systems,1,ra
B.Tech,5,CE503,Computer Networks,1,ra
B.Tech,5,CE504,Operating Systems,1,ra
B.Tech,5,IT502,Web designing,1,ra
B.Tech,5,SS562,Law for Engineers,1,ra
B.Tech,5,SP501,Fractional Course,1,ra
B.Tech,5,CE505,Mini Project- II,1,ra
B.Tech,6,CE601,Design and Analysis of Algorithms,1,ra
B.Tech,6,IT601,Software Engineering,1,ra
B.Tech,6,CE611,.net Technologies (Elective I),1,ra
B.Tech,6,CE621,Java Technologies (Elective I),1,ra
B.Tech,6,CE631,Objective C Programming (Elective I),1,ra
B.Tech,6,CE641,Embedded C Programming (Elective I),1,ra
B.Tech,6,IT764,System Software (Elective I),1,ra
B.Tech,6,CE602,Mini Project- III,1,ra
B.Tech,6,SS561.,Creativity and Innovation.,1,ra
B.Tech,6,SP601,Capstone Course ( Computer Engineering),1,ra
B.Tech,6,CE671,Internet of Things(Elective 1),1,ra
B.Tech,6,CE651,LAMP Technologies (Elective I),1,ra
B.Tech,6,CE661,Mobile Applications Development Technologies (Elective I),1,ra
B.Tech,6,IT612,Advanced Computer Networks (Elective II),1,ra
B.Tech,6,IT622,Machine Human Interface (Elective II),1,ra
B.Tech,6,IT632,Computer Graphics and Visualization (Elective II),1,ra
B.Tech,6,IT642,Main Frame Systems (Elective II),1,ra
B.Tech,6,IT652,Network Security and Encryption (Elective II),1,ra
B.Tech,6,IT662,Cloud Computing (Elective II),1,ra
B.Tech,6,IT692,Software Testing (Elective II),1,ra
B.Tech,6,IT682,Business Analysis and Optimization (Elective II),1,ra
B.Tech,6,CE613,IT Industry Management (Elective III),1,ra
B.Tech,6,CE64,University Elective,1,ra
B.Tech,6,CE623,Machine Learning (Elective III),1,ra
B.Tech,6,CE633,Data Mining (Elective III),1,ra
B.Tech,6,CE643,Parallel and Distributed computing (Elective III),1,ra
B.Tech,6,CE653,Advanced Data Structures (Elective III),1,ra
B.Tech,6,CE663,Natural Language Processing (Elective III),1,ra
B.Tech,7,IT724,Artificial Intelligence,1,ra
B.Tech,7,IT794,Compiler Construction,1,ra
B.Tech,7,IT784,Data Compression(ElectiveIV),1,ra
B.Tech,7,CE701,Interfacing with Microprocessor,1,ra
B.Tech,7,CE703,Open source development lab,1,ra
B.Tech,7,IT744,Digital Image Processing(Elective IV),1,ra
B.Tech,7,IT714,Database Administration(Elective IV),1,ra
B.Tech,7,SS701,Organizational Behaviour,1,ra
B.Tech,7,IT7B4,Web security (Elective IV),1,ra
B.Tech,7,IT7C4,Big data analytics (Elective IV),1,ra
B.Tech,7,IT7D4,Agile Software Development (Elective IV),1,ra
B.Tech,7,IT7E4,Secure software engineering (Elective IV),1,ra
B.Tech,7,IT7F4,Deep Learning (Elective-IV),1,ra
B.Tech,7,SP701,Practical Training,1,ra
B.Tech,7,IT754,Wireless Networks (Elective IV),1,ra
B.Tech,7,IT702,Information Retrieval System (Elective IV),1,ra
B.Tech,7,IT7A4,Network programming (Elective IV),1,ra
B.Tech,7,IT734,System administration(Elective IV),1,ra
B.Tech,7,CE702,Minor Project,1,ra
B.Tech,8,CE801,Major Project,1,ra
M.Tech,1,3CS1108,Advance Computer Networks,1,ra
M.Tech,1,3CS1103,Data Structure and Algorithms,1,ra
M.Tech,1,3CS1104,Computer Architecture,1,ra
M.Tech,1,3CS1106,Software Engineering,1,ra
M.Tech,1,3CS1107,Database Systems,1,ra
M.Tech,1,3SP1123,Communication Skills for Engineers,1,ra
M.Tech,1,3CS1105,Comprehensive Assessment - I,1,ra
M.Tech,1,3SP1104,ICT Tools,1,ra
M.Tech,2,3CS1202,Real Time Systems,1,ra
M.Tech,2,3CS1203,Compiler Design,1,ra
M.Tech,2,3CS1E14,High Performance Architecture (Elective),1,ra
M.Tech,2,3CS1E15,Information Theory and Coding (Elective),1,ra
M.Tech,2,3CS1E16,Wireless Ad Hoc Networks (Elective),1,ra
M.Tech,2,3CS3105,Information and Network Security,1,ra
M.Tech,2,3CS1E02,Simulation and Mathematical Modeling (Elective),1,ra
M.Tech,2,3CS1E03,Optimization Techniques (Elective),1,ra
M.Tech,2,3CS1E05,Formal Specification and Verification of Programs(Elective),1,ra
M.Tech,2,3CS1E06,Data Compression (Elective),1,ra
M.Tech,2,3CS1E08,Mobile Data Management(Elective),1,ra
M.Tech,2,3CS3202,Information and Retrieval Systems,1,ra
M.Tech,2,3CS1E09,Distributed Algorithms(Elective),1,ra
M.Tech,2,3CS1E10,Multicore Computing(Elective),1,ra
M.Tech,2,3CS1E11,Service Oriented Architecture(Elective),1,ra
M.Tech,2,3CS1204,Distributed and Parallel Systems,1,ra
M.Tech,2,3CS1E04,Software Testing and Quality Assurance (Elective),1,ra
M.Tech,2,3CS1E07,Modern Databases (Elective),1,ra
M.Tech,2,3CS1E13,Cloud Computing (Elective),1,ra
M.Tech,2,3CS1E17,Wireless Sensor Networks (Elective),1,ra
M.Tech,2,3CS1E35,Machine Learning (Elective),1,ra
M.Tech,2,3CS1E23,Data Warehousing and Mining (Elective),1,ra
M.Tech,2,3CS1E24,Web Search and Mining (Elective),1,ra
M.Tech,2,3CS1E28,Artificial Intelligence (Elective),1,ra
M.Tech,2,3CS1E32,Computer Security (Elective),1,ra
M.Tech,2,3CS1E01,Advance Compiler Design(Elective),1,ra
M.Tech,2,3CS1201,Research Seminar,1,ra
M.Tech,2,3SP1204,Research Methodology,1,ra
M.Tech,2,3CS1205,Comprehensive Assessment - II,1,ra
M.Tech,2,3SP1126,Cyber Security,1,ra
M.Tech,3,3SP1301,Practical Training,1,ra
M.Tech,3,3CS1301,Project Part- I,1,ra
M.Tech,4,3CS1401,Project Part- II,1,ra
BHM ,1,BHM 111,Foundation Course in Food Production - I,1,ra
BHM ,1,BHM 112,Foundation Course in Food & Beverage Service - I,1,ra
BHM ,1,BHM 113,Foundation Course in Front Office - I,1,ra
BHM ,1,BHM 114,Foundation Course in Accommodation Operations-I,1,ra
BHM ,1,BHM 105,Application of Computers,1,ra
BHM ,1,BHM 106,Hotel Engineering,1,ra
BHM ,1,BHM 116,Nutrition,1,ra
BHM ,2,bHM 151,Foundation Course in Food Production - II,1,ra
BHM ,2,BHM 152,Foundation Course in F & B Service - II,1,ra
BHM ,2,BHM 153,Foundation Course in Front Office - II,1,ra
BHM ,2,BHM 154,Foundation Course in Accommodation Operation-II,1,ra
BHM ,2,BHM 117,Principal of Food Science,1,ra
BHM ,2,BHM 108,Accountancy,1,ra
BHM ,2,BHM 109,Communication,1,ra
BHM ,2,TS-01,Foundation Course in Tourism,1,ra
BHM ,3,BHM 208,Industrial Training,1,ra
BHM ,4,BHM 201,Food Production Operations,1,ra
BHM ,4,BHM 202,Food & Beverage Service Operations,1,ra
BHM ,4,BHM 203,Front Office Operations,1,ra
BHM ,4,BHM 204,Accommodation Operations,1,ra
BHM ,4,BHM 205,Food & Beverage Controls,1,ra
BHM ,4,BHM 206,Hotel Accountancy,1,ra
BHM ,4,BHM 207,Food Safety & Quality,1,ra
BHM ,4,BHM 208,Research Methodology,1,ra
BHM ,4,TS-03,Management in Tourism,1,ra
BHM ,4,BEGE-103,Communication Skill in English,1,ra
BHM ,4,TS-07,Human Resource Management,1,ra
BHM ,5,BHM 311,Advance Food Production Operation-I,1,ra
BHM ,5,BHM 312,Advance Food & Beverage Operation-I,1,ra
BHM ,5,BHM 313,Front Office ÊManagement-I,1,ra
BHM ,5,BHM 314,Accommodation Management-I,1,ra
BHM ,5,BHM 307,Financial Management,1,ra
BHM ,5,BHM 308,Strategic Management,1,ra
BHM ,5,BHM 309,Research Project,1,ra
BHM ,5,BHM 310,Special topics / Guest speakers,1,ra
BHM ,5,TS-06,Tourism Marketing,1,ra
BHM ,6,BHM 351,Advance Food Production Operation-II,1,ra
BHM ,6,BHM 352,Advance Food & Beverage Operation-II,1,ra
BHM ,6,BHM 353,Front Office ÊManagement-II,1,ra
BHM ,6,BHM 354,Accommodation Management-II,1,ra
BHM ,6,BHM 305,Food & Beverage Management,1,ra
BHM ,6,BHM 306,Facility Planning,1,ra
BHM ,6,BHM 309,Research Project,1,ra
